"Recipient","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","type"
"      Gambia","0.323 ","0.075 ","0.598 ","0.683 ","1.996 ","1.859 ","1.114 ","0.951 ","1.139 ","5.131 ","0.622 ","0.902 ","4.792 ","2.876 ","2.451 ","2.633 ","2.253 ","1.338 ","1.536 ","1.312 ","1.593 ","3.148 ","education"
"      Ghana","11.676 ","27.004 ","35.053 ","141.528 ","111.303 ","21.744 ","18.748 ","20.329 ","103.525 ","27.830 ","34.867 ","217.764 ","125.494 ","38.297 ","45.036 ","41.256 ","63.154 ","53.668 ","72.076 ","66.815 ","46.263 ","60.108 ","education"
"      Guinea","12.722 ","1.735 ","11.847 ","39.363 ","27.247 ","29.282 ","15.553 ","36.404 ","25.908 ","20.085 ","16.208 ","32.749 ","20.328 ","66.237 ","25.836 ","26.884 ","27.355 ","27.204 ","24.045 ","27.015 ","20.253 ","23.459 ","education"
"      Guinea-Bissau","0.129 ","0.063 ","9.689 ","1.375 ","6.311 ","5.730 ","5.986 ","5.491 ","4.711 ","4.853 ","4.821 ","5.917 ","6.090 ","5.281 ","6.044 ","14.123 ","6.747 ","14.146 ","3.419 ","4.221 ","4.500 ","6.413 ","education"
"      Kenya","19.250 ","60.413 ","5.692 ","10.996 ","19.501 ","44.724 ","23.229 ","14.952 ","47.567 ","34.108 ","38.266 ","140.175 ","75.004 ","62.762 ","40.859 ","43.509 ","68.505 ","83.572 ","59.236 ","95.109 ","66.397 ","194.356 ","education"
"      Lesotho","6.522 ","0.527 ","0.532 ","2.178 ","0.792 ","5.856 ","7.982 ","2.793 ","4.407 ","12.168 ","1.789 ","1.861 ","3.967 ","10.289 ","9.992 ","1.305 ","13.614 ","1.589 ","1.910 ","2.310 ","2.059 ","2.538 ","education"
"      Liberia","0.305 ","0.015 ","2.632 ","4.053 ","1.341 ","1.886 ","0.852 ","1.358 ","0.663 ","2.653 ","2.112 ","1.561 ","18.646 ","30.112 ","38.088 ","43.814 ","28.831 ","33.085 ","29.863 ","47.323 ","26.355 ","30.073 ","education"
"      Madagascar","1.853 ","3.400 ","27.365 ","30.817 ","24.499 ","28.347 ","21.484 ","24.762 ","41.294 ","38.309 ","64.599 ","56.087 ","54.750 ","40.737 ","36.726 ","27.128 ","43.271 ","33.542 ","27.607 ","38.373 ","52.289 ","30.232 ","education"
"      Malawi","15.284 ","37.016 ","18.176 ","18.889 ","19.729 ","179.611 ","22.630 ","50.706 ","37.573 ","22.310 ","44.466 ","18.115 ","52.279 ","19.285 ","33.722 ","84.349 ","33.880 ","45.753 ","53.048 ","66.984 ","75.327 ","57.298 ","education"
"      Mali","42.413 ","8.861 ","29.320 ","34.327 ","34.752 ","35.516 ","52.481 ","116.821 ","64.287 ","71.304 ","42.743 ","287.387 ","85.708 ","55.583 ","119.914 ","98.242 ","87.139 ","56.648 ","81.480 ","45.908 ","36.814 ","58.869 ","education"
"      Mauritania","0.078 ","0.019 ","15.628 ","36.769 ","15.386 ","14.943 ","15.191 ","14.153 ","15.419 ","13.740 ","17.264 ","38.650 ","20.126 ","10.741 ","14.318 ","17.273 ","14.155 ","11.520 ","22.198 ","10.249 ","10.136 ","10.934 ","education"
"      Mauritius","6.596 ","8.868 ","9.738 ","6.082 ","11.192 ","13.127 ","12.833 ","13.831 ","14.752 ","16.118 ","12.547 ","18.203 ","18.224 ","11.789 ","12.771 ","12.432 ","12.811 ","11.382 ","11.653 ","11.766 ","10.213 ","7.048 ","education"
"      Mayotte",,,,,,,"125.458 ","133.107 ","159.297 ","153.622 ",,,"243.991 ","263.186 ","290.333 ","364.672 ",,,,,,,"education"
"      Mozambique","8.383 ","43.591 ","39.946 ","30.543 ","43.549 ","87.182 ","70.226 ","130.539 ","92.843 ","53.735 ","208.887 ","119.413 ","196.666 ","77.339 ","173.043 ","131.158 ","76.265 ","77.536 ","102.817 ","59.436 ","121.736 ","133.588 ","education"
"      Namibia","37.754 ","12.188 ","16.025 ","22.594 ","14.516 ","33.992 ","19.866 ","14.061 ","23.806 ","7.074 ","5.787 ","7.631 ","9.428 ","22.156 ","164.424 ","11.377 ","11.089 ","29.135 ","8.453 ","15.569 ","6.181 ","21.388 ","education"
"      Niger","32.244 ","0.903 ","11.638 ","13.989 ","7.264 ","11.015 ","15.988 ","14.723 ","27.103 ","31.278 ","19.654 ","29.618 ","27.667 ","27.907 ","27.390 ","31.604 ","19.767 ","38.336 ","43.708 ","61.853 ","28.025 ","23.420 ","education"
"      Nigeria","1.520 ","7.531 ","4.027 ","7.025 ","14.451 ","53.349 ","20.583 ","21.525 ","20.281 ","59.123 ","10.355 ","29.402 ","192.238 ","29.462 ","38.602 ","43.896 ","27.309 ","47.011 ","48.797 ","59.831 ","67.773 ","106.473 ","education"
"      Rwanda","6.404 ","5.905 ","10.464 ","13.338 ","19.478 ","17.958 ","40.308 ","16.637 ","13.824 ","12.652 ","14.802 ","50.472 ","68.885 ","22.124 ","50.846 ","38.318 ","42.147 ","27.128 ","109.682 ","32.415 ","54.896 ","76.300 ","education"
"      Saint Helena",,,,,"0.224 ","0.234 ","0.477 ","0.301 ","8.903 ","0.085 ",,,,"1.309 ","0.312 ","1.055 ",,"0.524 ","0.047 ",,"0.743 ","0.121 ","education"
"      Sao Tome and Principe","0.136 ","0.266 ","1.546 ","1.116 ","2.735 ","4.601 ","5.660 ","4.982 ","5.457 ","4.881 ","3.643 ","6.294 ","5.697 ","5.452 ","7.561 ","5.849 ","5.550 ","6.004 ","4.704 ","5.312 ","3.339 ","3.307 ","education"
"      Senegal","23.819 ","24.729 ","23.202 ","53.470 ","41.007 ","61.540 ","51.708 ","123.703 ","109.194 ","97.728 ","96.077 ","138.725 ","135.765 ","181.573 ","122.277 ","96.954 ","98.790 ","125.977 ","102.297 ","202.540 ","114.441 ","119.808 ","education"
"      Seychelles","2.178 ","2.757 ","2.853 ","1.230 ","0.787 ","2.168 ","0.926 ","0.920 ","1.024 ","0.856 ","0.216 ","0.450 ","0.627 ","0.633 ","1.304 ","0.661 ","0.857 ","0.681 ","0.665 ","0.691 ","1.118 ","0.297 ","education"
"      Sierra Leone","0.418 ","2.374 ","0.712 ","0.964 ","1.303 ","1.882 ","9.007 ","4.170 ","4.285 ","9.158 ","7.197 ","7.165 ","10.597 ","7.034 ","14.855 ","9.573 ","11.639 ","9.428 ","9.858 ","9.094 ","5.260 ","24.285 ","education"
"      Somalia","1.079 ","0.032 ","0.250 ","0.266 ","8.359 ","1.067 ","20.748 ","4.465 ","3.554 ","18.174 ","12.693 ","13.580 ","7.768 ","15.958 ","15.793 ","14.683 ","12.669 ","18.798 ","19.147 ","36.812 ","22.208 ","12.641 ","education"
"      South Africa","72.143 ","104.777 ","83.839 ","107.210 ","73.441 ","97.023 ","137.545 ","79.062 ","94.832 ","50.946 ","127.701 ","71.884 ","33.880 ","35.718 ","65.086 ","43.702 ","40.507 ","37.920 ","37.108 ","41.085 ","43.682 ","40.282 ","education"
"      South Sudan",,,,,,,,,,,,,,,,,"35.412 ","41.558 ","76.817 ","38.436 ","58.079 ","77.569 ","education"
"      Sudan","3.124 ","3.686 ","4.673 ","3.712 ","11.480 ","11.850 ","17.630 ","16.432 ","14.754 ","34.919 ","35.396 ","22.819 ","57.952 ","68.784 ","82.106 ","42.605 ","42.399 ","19.715 ","16.211 ","10.499 ","14.290 ","11.170 ","education"
"      Swaziland","1.329 ","0.580 ","0.367 ","0.757 ","2.164 ","0.653 ","0.176 ","0.510 ","0.518 ","0.520 ","0.665 ","0.197 ","0.327 ","0.258 ","0.292 ","1.238 ","12.171 ","1.026 ","2.301 ","2.107 ","2.836 ","2.421 ","education"
"      Tanzania","6.868 ","17.660 ","65.610 ","57.372 ","24.274 ","26.089 ","65.179 ","220.754 ","111.830 ","92.988 ","38.825 ","23.968 ","62.626 ","37.569 ","176.197 ","46.305 ","46.753 ","80.925 ","41.971 ","63.749 ","93.176 ","178.948 ","education"
"      Togo","25.840 ","3.598 ","2.544 ","3.194 ","12.647 ","10.442 ","11.643 ","12.123 ","22.929 ","14.679 ","12.891 ","18.080 ","16.977 ","23.796 ","12.862 ","12.077 ","19.587 ","17.348 ","12.664 ","26.308 ","22.893 ","22.250 ","education"
"      Uganda","40.228 ","30.414 ","23.562 ","176.445 ","46.172 ","76.138 ","86.726 ","56.036 ","59.329 ","50.852 ","74.709 ","78.444 ","47.979 ","92.485 ","52.111 ","103.278 ","67.521 ","38.138 ","56.836 ","37.796 ","71.217 ","61.781 ","education"
"      Zambia","15.650 ","21.714 ","14.531 ","43.330 ","77.002 ","16.172 ","32.441 ","84.839 ","172.738 ","82.541 ","138.111 ","70.008 ","65.191 ","100.862 ","45.724 ","37.944 ","41.725 ","44.609 ","42.421 ","48.026 ","36.482 ","16.317 ","education"
"      Zimbabwe","13.483 ","54.088 ","4.161 ","10.638 ","12.501 ","15.684 ","9.135 ","12.084 ","7.078 ","5.882 ","5.086 ","6.411 ","4.234 ","4.632 ","19.444 ","11.334 ","27.841 ","53.820 ","19.748 ","11.536 ","57.202 ","17.563 ","education"
"      South of Sahara, regional","16.377 ","33.981 ","35.764 ","20.204 ","12.690 ","61.303 ","54.453 ","60.339 ","43.737 ","63.583 ","32.253 ","44.991 ","66.017 ","89.751 ","158.371 ","121.111 ","56.296 ","73.722 ","44.962 ","72.193 ","114.277 ","90.925 ","education"
"    Africa, regional","26.122 ","13.289 ","28.299 ","21.685 ","91.419 ","26.035 ","36.747 ","51.545 ","36.236 ","41.449 ","25.467 ","35.977 ","55.885 ","44.463 ","14.190 ","179.522 ","60.325 ","46.452 ","19.157 ","41.587 ","64.032 ","97.287 ","education"
"  America, Total","126.982 ","188.110 ","405.599 ","325.070 ","462.694 ","478.751 ","395.936 ","514.909 ","498.150 ","566.162 ","522.645 ","608.339 ","549.319 ","651.958 ","704.023 ","864.748 ","650.541 ","665.144 ","599.796 ","594.101 ","729.588 ","637.183 ","education"
"    North & Central America, Total","52.654 ","86.109 ","234.383 ","175.300 ","218.682 ","205.877 ","180.550 ","227.945 ","177.700 ","205.756 ","211.265 ","291.576 ","228.995 ","258.235 ","272.832 ","341.372 ","272.440 ","282.293 ","246.031 ","255.436 ","374.443 ","331.126 ","education"
"      Anguilla","0.490 ","0.291 ","0.018 ","0.123 ","4.996 ","0.344 ",,"0.859 ","0.082 ",,"0.027 ",,,,"0.027 ","0.191 ",,"0.009 ","0.003 ",,,,"education"
"      Antigua and Barbuda","0.038 ",,"0.020 ","0.048 ","2.374 ","0.019 ","0.876 ","0.033 ","0.758 ","0.023 ","0.042 ","0.013 ","0.220 ","0.056 ","0.056 ","0.108 ","0.211 ","0.136 ","0.060 ","0.055 ","0.115 ","0.118 ","education"
"      Aruba",,,,,,,,,,,,,,,,,,,,,,,"education"
"      Bahamas",,,,,,,,,,,,,,,,,,,,,,,"education"
"      Barbados",,"0.035 ","0.113 ","0.099 ","0.060 ","0.081 ","0.078 ","0.056 ","0.110 ","0.070 ","0.069 ","0.124 ","0.056 ","0.136 ","0.281 ","0.080 ",,,,,,,"education"
"      Belize",,"1.431 ","0.057 ","0.674 ","0.156 ","1.607 ","0.043 ","0.232 ","0.335 ","0.364 ","0.392 ","1.045 ","0.808 ","0.884 ","0.880 ","2.478 ","2.068 ","1.561 ","1.294 ","0.850 ","0.896 ","0.850 ","education"
"      Bermuda",,,,,,,,,,,,,,,,,,,,,,,"education"
"      British Virgin Islands","0.162 ",,,"0.040 ",,,,,,,,,,,,,,,,,,,"education"
"      Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,"education"
"      Costa Rica","3.541 ","1.469 ","3.314 ","4.226 ","3.774 ","3.142 ","18.727 ","3.294 ","3.846 ","5.861 ","2.754 ","5.633 ","5.897 ","7.413 ","7.448 ","8.956 ","9.925 ","9.324 ","9.328 ","9.912 ","8.980 ","8.296 ","education"
"      Cuba","3.700 ","4.798 ","3.508 ","8.296 ","5.564 ","9.162 ","11.063 ","8.829 ","8.438 ","12.218 ","3.635 ","4.442 ","6.002 ","6.713 ","10.097 ","9.825 ","8.762 ","6.208 ","4.219 ","5.078 ","5.433 ","4.686 ","education"
"      Dominica","0.006 ",,"0.295 ","0.637 ","0.369 ","0.265 ","0.385 ","0.322 ","0.333 ","0.363 ","0.620 ","0.274 ","0.355 ","0.342 ","1.118 ","0.136 ","0.791 ","0.070 ","0.301 ","0.460 ","0.427 ","0.530 ","education"
"      Dominican Republic","0.585 ","2.091 ","33.138 ","5.058 ","5.842 ","8.224 ","14.596 ","14.293 ","7.340 ","13.080 ","7.749 ","13.907 ","12.412 ","16.772 ","13.546 ","21.639 ","13.580 ","12.507 ","15.254 ","27.314 ","17.634 ","10.736 ","education"
"      El Salvador","10.152 ","17.185 ","10.715 ","14.037 ","19.194 ","11.905 ","17.491 ","21.777 ","10.367 ","10.519 ","11.177 ","19.549 ","39.593 ","22.314 ","18.322 ","22.556 ","17.385 ","22.074 ","33.700 ","24.507 ","124.535 ","22.257 ","education"
"      Grenada",,,"0.273 ","0.217 ","0.018 ","0.152 ","0.045 ","0.066 ","0.053 ","0.033 ","0.234 ","0.055 ","0.137 ","0.118 ","0.513 ","0.068 ","0.135 ","0.031 ","0.074 ","0.217 ","0.203 ","0.052 ","education"
"      Guatemala","7.770 ","7.060 ","36.183 ","39.804 ","37.324 ","25.285 ","28.043 ","31.870 ","23.000 ","18.323 ","41.028 ","47.474 ","22.940 ","29.424 ","41.179 ","36.654 ","25.302 ","41.459 ","22.604 ","34.217 ","23.841 ","121.588 ","education"
"      Haiti","5.502 ","5.596 ","75.667 ","19.903 ","13.626 ","28.126 ","19.736 ","24.121 ","15.379 ","17.268 ","27.370 ","44.471 ","22.312 ","44.286 ","49.507 ","77.092 ","50.859 ","38.499 ","32.823 ","33.270 ","52.630 ","63.014 ","education"
"      Honduras","0.199 ","19.007 ","6.693 ","5.707 ","35.503 ","11.511 ","17.352 ","38.896 ","35.763 ","37.152 ","43.139 ","20.148 ","40.057 ","34.070 ","30.316 ","23.933 ","40.042 ","42.806 ","37.110 ","25.990 ","32.244 ","10.820 ","education"
"      Jamaica","3.388 ","0.441 ","10.304 ","10.242 ","11.400 ","17.781 ","4.119 ","5.004 ","6.848 ","6.698 ","6.154 ","6.510 ","8.217 ","4.240 ","6.778 ","5.955 ","8.686 ","8.834 ","6.020 ","8.813 ","5.355 ","4.017 ","education"
"      Mexico","0.957 ","6.739 ","9.153 ","7.371 ","15.886 ","16.278 ","18.453 ","28.944 ","31.568 ","27.414 ","20.203 ","33.307 ","35.648 ","49.679 ","52.481 ","51.635 ","52.117 ","52.634 ","53.470 ","53.633 ","61.908 ","46.221 ","education"
"      Montserrat",,"2.719 ","0.063 ","0.212 ",,"0.606 ","0.988 ","0.710 ",,"0.290 ",,"0.014 ",,"0.360 ","1.464 ","0.475 ","1.710 ","0.271 ","0.400 ","0.659 ","0.050 ",,"education"
"      Netherlands Antilles","0.059 ",,,,,,,,,,,,,,,,,,,,,,"education"
"      Nicaragua","11.545 ","16.208 ","11.616 ","22.103 ","31.522 ","40.763 ","23.411 ","19.234 ","20.198 ","50.742 ","41.825 ","84.118 ","27.533 ","37.081 ","20.665 ","49.770 ","21.729 ","21.820 ","14.437 ","17.509 ","28.319 ","12.509 ","education"
"      Panama","1.913 ","0.068 ","2.233 ","18.815 ","21.435 ","4.667 ","2.104 ","4.193 ","9.244 ","2.688 ","2.862 ","2.800 ","3.215 ","1.502 ","3.715 ","4.053 ","4.543 ","4.194 ","3.731 ","2.935 ","3.336 ","5.419 ","education"
"      Saint Kitts and Nevis","0.573 ",,"0.210 ","0.194 ","0.015 ","0.012 ",,,"0.033 ","0.026 ","0.025 ","0.040 ","0.120 ","0.312 ","0.038 ","0.041 ","0.045 ","0.018 ","0.178 ",,,,"education"
"      Saint Lucia","0.675 ",,"1.437 ","0.665 ","0.855 ","0.160 ","0.287 ","0.324 ","0.670 ","0.451 ","0.670 ","1.046 ","0.728 ","0.572 ","1.340 ","0.381 ","0.318 ","0.281 ","0.365 ","0.548 ","0.594 ","0.565 ","education"
"      Saint Vincent and the Grenadines","0.431 ",,"0.779 ","4.266 ","0.012 ","1.155 ","0.019 ","0.020 ","0.098 ","0.174 ","0.384 ","0.311 ","0.251 ","0.207 ","0.246 ","0.194 ","0.251 ","0.103 ","0.082 ","0.073 ","0.282 ","0.098 ","education"
"      Trinidad and Tobago","0.008 ","0.031 ","0.116 ","0.231 ","0.479 ","0.447 ","0.675 ","0.417 ","0.883 ","0.681 ","0.453 ","0.691 ","0.861 ","0.656 ","0.696 ","0.297 ",,,,,,,"education"
"      Turks and Caicos Islands","0.061 ",,,"0.110 ","2.830 ","0.043 ",,"0.090 ",,"0.089 ","0.325 ",,,,,,,,,,,,"education"
"      West Indies, regional","0.610 ","0.239 ","27.173 ","10.968 ","0.727 ","2.199 ","0.335 ","21.857 ","0.081 ","0.205 ",,,"0.007 ","0.088 ","0.046 ","12.253 ","8.654 ","5.280 ","9.233 ","4.663 ","6.147 ","12.352 ","education"
"      North & Central America, regional","0.290 ","0.698 ","1.305 ","1.252 ","4.723 ","21.943 ","1.725 ","2.506 ","2.273 ","1.023 ","0.126 ","5.603 ","1.627 ","1.011 ","12.073 ","12.601 ","5.327 ","14.174 ","1.347 ","4.734 ","1.513 ","6.998 ","education"
"    South America, Total","72.851 ","77.977 ","141.206 ","128.862 ","206.704 ","210.455 ","183.605 ","239.639 ","276.181 ","319.525 ","265.861 ","289.087 ","286.020 ","317.232 ","399.291 ","457.004 ","331.155 ","345.562 ","333.321 ","323.403 ","323.556 ","287.972 ","education"
"      Argentina","1.668 ","8.668 ","14.065 ","11.635 ","14.315 ","13.292 ","14.098 ","20.342 ","18.634 ","19.224 ","14.987 ","18.289 ","19.854 ","26.117 ","27.043 ","27.221 ","24.696 ","24.767 ","24.799 ","21.718 ","20.260 ","19.977 ","education"
"      Bolivia","37.953 ","19.216 ","14.090 ","21.893 ","41.469 ","39.564 ","34.856 ","35.318 ","35.239 ","113.124 ","81.999 ","40.934 ","44.970 ","46.123 ","48.991 ","103.705 ","33.518 ","22.455 ","35.995 ","25.432 ","18.486 ","14.682 ","education"
"      Brazil","7.754 ","7.375 ","13.632 ","12.321 ","34.268 ","39.476 ","42.070 ","43.470 ","49.692 ","47.396 ","34.385 ","63.312 ","64.999 ","67.440 ","83.503 ","88.442 ","85.852 ","116.474 ","95.775 ","100.543 ","93.399 ","94.549 ","education"
"      Chile","2.859 ","8.529 ","7.824 ","6.137 ","16.635 ","13.612 ","9.982 ","11.555 ","14.067 ","12.765 ","10.097 ","17.664 ","18.606 ","23.944 ","25.419 ","28.655 ","26.224 ","27.236 ","25.059 ","24.664 ","27.340 ","24.196 ","education"
"      Colombia","3.312 ","7.973 ","16.152 ","10.526 ","38.151 ","23.229 ","24.510 ","30.976 ","33.311 ","30.262 ","27.909 ","45.059 ","42.903 ","51.919 ","94.178 ","62.604 ","52.601 ","53.275 ","60.403 ","64.796 ","65.258 ","49.824 ","education"
"      Ecuador","2.992 ","5.137 ","7.107 ","4.718 ","10.421 ","8.353 ","13.984 ","34.666 ","18.342 ","26.867 ","14.200 ","35.673 ","23.204 ","23.428 ","26.434 ","29.023 ","23.351 ","22.671 ","19.339 ","21.507 ","20.190 ","19.538 ","education"
"      Guyana",,"0.113 ","13.086 ","5.543 ","6.996 ","0.758 ","0.681 ","0.892 ","39.325 ","1.437 ","0.359 ","1.694 ","2.072 ","0.417 ","1.066 ","1.139 ","1.894 ","1.262 ","1.183 ","1.395 ","2.190 ","1.893 ","education"
"      Paraguay","0.329 ","0.633 ","18.299 ","9.273 ","3.981 ","4.250 ","4.038 ","3.957 ","8.017 ","7.556 ","13.490 ","8.587 ","9.731 ","9.551 ","12.977 ","19.387 ","12.063 ","7.209 ","7.800 ","6.578 ","8.340 ","4.835 ","education"
"      Peru","3.493 ","11.617 ","16.701 ","37.479 ","27.555 ","27.311 ","26.892 ","27.823 ","40.674 ","36.821 ","33.291 ","38.822 ","40.885 ","44.985 ","45.943 ","63.041 ","42.060 ","48.453 ","39.857 ","34.472 ","46.131 ","41.195 ","education"
"      Suriname","1.442 ","4.714 ","5.121 ","1.309 ","1.046 ","1.239 ","1.045 ","3.728 ","1.850 ","1.822 ","14.489 ","2.057 ","0.824 ","1.050 ","4.183 ","2.015 ","1.869 ","2.233 ","2.079 ","2.563 ","1.866 ","2.283 ","education"
"      Uruguay","1.292 ","2.169 ","3.652 ","2.415 ","3.776 ","4.478 ","3.124 ","2.433 ","2.669 ","3.754 ","2.448 ","3.563 ","3.854 ","4.603 ","5.797 ","8.031 ","5.242 ","4.580 ","4.372 ","3.890 ","5.216 ","3.780 ","education"
"      Venezuela","1.973 ","1.811 ","7.930 ","5.139 ","7.683 ","32.267 ","8.020 ","22.668 ","8.546 ","8.213 ","7.002 ","10.344 ","9.166 ","11.264 ","14.928 ","12.106 ","13.760 ","13.406 ","14.016 ","13.222 ","14.546 ","10.423 ","education"
"      South America, regional","7.787 ","0.022 ","3.548 ","0.475 ","0.411 ","2.628 ","0.306 ","1.809 ","5.814 ","10.285 ","11.206 ","3.088 ","4.952 ","6.391 ","8.828 ","11.634 ","8.024 ","1.540 ","2.644 ","2.624 ","0.335 ","0.797 ","education"
"    America, regional","1.477 ","24.024 ","30.009 ","20.908 ","37.307 ","62.419 ","31.780 ","47.325 ","44.270 ","40.882 ","45.519 ","27.676 ","34.303 ","76.491 ","31.900 ","66.373 ","46.946 ","37.289 ","20.444 ","15.261 ","31.589 ","18.085 ","education"
"  Asia, Total","804.398 ","1,076.972 ","808.104 ","645.528 ","1,485.321 ","990.808 ","1,347.322 ","1,395.599 ","2,106.720 ","3,258.659 ","1,690.901 ","2,854.775 ","2,692.717 ","2,999.168 ","3,532.098 ","3,178.734 ","2,932.921 ","2,634.741 ","2,907.171 ","3,465.867 ","2,863.949 ","3,040.838 ","education"
"    Far East Asia, Total","429.932 ","378.237 ","328.564 ","326.449 ","877.887 ","468.898 ","568.603 ","857.740 ","1,315.309 ","1,381.339 ","762.974 ","1,837.397 ","1,429.356 ","1,501.534 ","1,402.418 ","1,401.258 ","1,364.108 ","1,208.102 ","1,103.626 ","1,295.682 ","1,131.981 ","1,016.403 ","education"
"      Brunei Darussalam","0.033 ",,,,,,,,,,,,,,,,,,,,,,"education"
"      Cambodia","6.204 ","31.811 ","29.695 ","9.962 ","25.385 ","17.040 ","21.003 ","40.489 ","22.103 ","40.755 ","21.782 ","51.663 ","23.195 ","26.959 ","29.198 ","41.831 ","44.685 ","32.921 ","68.726 ","50.949 ","69.185 ","59.853 ","education"
"      China (People's Republic of)","24.462 ","40.123 ","19.370 ","20.927 ","113.517 ","120.537 ","193.852 ","487.821 ","869.654 ","840.773 ","327.634 ","844.107 ","657.626 ","598.133 ","621.362 ","678.376 ","671.915 ","595.726 ","432.469 ","570.197 ","447.471 ","481.483 ","education"
"      Democratic People's Republic of Korea","0.044 ","0.018 ","0.023 ","0.053 ","1.157 ","1.192 ","0.960 ","1.874 ","1.782 ","1.444 ","0.639 ","1.547 ","1.552 ","2.000 ","0.990 ","1.154 ","1.647 ","1.885 ","1.968 ","10.778 ","2.392 ","0.635 ","education"
"      Hong Kong, China","0.578 ","0.451 ",,,,,,,,,,,,,,,,,,,,,"education"
"      Indonesia","271.866 ","85.226 ","65.962 ","151.898 ","117.804 ","139.362 ","185.315 ","117.001 ","98.456 ","143.602 ","121.100 ","489.880 ","292.321 ","474.233 ","367.941 ","254.291 ","181.636 ","186.709 ","184.835 ","156.816 ","193.695 ","109.655 ","education"
"      Korea","0.057 ","6.808 ","3.192 ","3.500 ","49.560 ",,,,,,,,,,,,,,,,,,"education"
"      Lao People's Democratic Republic","0.625 ","10.985 ","5.798 ","19.020 ","15.640 ","31.274 ","17.241 ","31.205 ","15.640 ","29.253 ","14.771 ","26.722 ","20.677 ","30.289 ","21.673 ","50.283 ","34.759 ","38.099 ","38.557 ","51.218 ","30.630 ","61.449 ","education"
"      Macau, China",,,,,,,,,,,,,,,,,,,,,,,"education"
"      Malaysia","0.951 ","7.945 ","4.012 ","1.098 ","313.665 ","7.055 ","4.168 ","17.982 ","23.782 ","34.240 ","14.125 ","89.756 ","20.193 ","19.388 ","24.099 ","26.084 ","93.606 ","23.896 ","18.874 ","22.137 ","19.115 ","17.534 ","education"
"      Mongolia","0.209 ","1.640 ","2.787 ","1.552 ","14.037 ","19.742 ","17.678 ","21.277 ","39.477 ","38.349 ","26.601 ","33.491 ","31.662 ","46.377 ","54.079 ","69.718 ","37.085 ","28.092 ","52.374 ","104.859 ","28.857 ","60.632 ","education"
"      Philippines","17.226 ","53.712 ","129.455 ","18.667 ","118.881 ","27.061 ","24.243 ","46.200 ","33.761 ","92.368 ","62.897 ","42.858 ","132.932 ","124.851 ","46.351 ","70.226 ","67.639 ","96.122 ","53.225 ","99.227 ","89.687 ","60.099 ","education"
"      Singapore","0.174 ",,,,,,,,,,,,,,,,,,,,,,"education"
"      Chinese Taipei","0.016 ","4.010 ",,,,,,,,,,,,,,,,,,,,,"education"
"      Thailand","63.419 ","36.722 ","6.497 ","37.013 ","29.768 ","15.270 ","17.734 ","12.816 ","42.677 ","45.560 ","31.970 ","35.412 ","33.732 ","31.498 ","31.349 ","33.944 ","44.523 ","38.704 ","41.069 ","40.324 ","28.205 ","29.862 ","education"
"      Timor-Leste","0.018 ","0.016 ","0.016 ",,"3.842 ","14.356 ","15.201 ","16.025 ","15.474 ","15.444 ","14.180 ","18.498 ","37.854 ","18.957 ","20.360 ","42.369 ","31.759 ","20.464 ","32.815 ","41.506 ","19.147 ","39.050 ","education"
"      Viet Nam","38.175 ","93.645 ","61.240 ","59.626 ","68.988 ","74.398 ","70.816 ","58.798 ","152.395 ","98.233 ","126.151 ","200.714 ","176.567 ","123.238 ","181.957 ","126.087 ","154.782 ","139.765 ","178.436 ","144.431 ","202.729 ","94.085 ","education"
"      Far East Asia, regional","5.872 ","5.126 ","0.517 ","3.132 ","5.642 ","1.611 ","0.392 ","6.251 ","0.107 ","1.317 ","1.124 ","2.749 ","1.046 ","5.611 ","3.059 ","6.895 ","0.071 ","5.720 ","0.278 ","3.241 ","0.868 ","2.067 ","education"
"    South & Central Asia, Total","190.979 ","541.841 ","344.353 ","222.034 ","351.782 ","263.215 ","505.645 ","296.733 ","512.818 ","1,366.190 ","534.159 ","618.059 ","737.388 ","866.063 ","1,525.986 ","1,171.873 ","1,059.809 ","965.595 ","1,323.660 ","1,592.679 ","1,130.245 ","1,337.896 ","education"
"      Afghanistan","1.168 ","0.790 ","0.421 ","1.169 ","7.097 ","5.562 ","6.741 ","39.836 ","35.680 ","172.050 ","199.677 ","125.449 ","206.546 ","294.340 ","269.952 ","406.310 ","266.666 ","301.873 ","423.014 ","286.652 ","271.268 ","169.853 ","education"
"      Armenia","0.022 ","1.023 ","0.255 ","0.429 ","8.334 ","8.226 ","7.880 ","4.324 ","8.513 ","7.210 ","4.747 ","16.705 ","10.747 ","11.471 ","9.735 ","10.562 ","10.288 ","12.421 ","13.802 ","14.134 ","14.927 ","13.870 ","education"
"      Azerbaijan",,"0.114 ","0.102 ","0.285 ","1.694 ","2.947 ","2.367 ","3.118 ","4.539 ","5.140 ","2.483 ","4.996 ","4.641 ","5.788 ","7.069 ","10.395 ","34.885 ","11.416 ","17.746 ","11.843 ","10.952 ","15.672 ","education"
"      Bangladesh","49.130 ","81.982 ","125.872 ","94.290 ","59.241 ","81.559 ","47.197 ","50.464 ","158.663 ","408.324 ","99.781 ","72.786 ","99.516 ","84.053 ","154.506 ","96.028 ","132.102 ","103.340 ","178.867 ","121.732 ","94.543 ","232.404 ","education"
